TRAFFIC SIGNAL INVENTORY NO,OWNER,PRIMARY STREET NAME,SECONDARY STREET NAME,LATITUDE,LONGITUDE,GeoLocation
S-297,STATE,JEFFERSON HWY,FLOYNELL DR,30.40988,-91.07346,"(30.40988, -91.07346)"
S-191,STATE,AIRLINE HWY,SHERWOOD FOREST BLVD / SIEGEN LN,30.39901,-91.05413,"(30.39901, -91.05413)"
S-238,STATE,AIRLINE HWY,JEFFERSON HWY,30.39561,-91.05132,"(30.39561, -91.05132)"
S-001,STATE,O'NEAL LN,COLISEUM AVE / WOODWICK AVE,30.45405,-91.0082,"(30.45405, -91.0082)"
S-296,STATE,O'NEAL LN,STRAIN RD,30.45722,-91.00835,"(30.45722, -91.00835)"
S-319,STATE,O'NEAL LN,OLD HAMMOND HWY,30.46019,-91.00837,"(30.46019, -91.00837)"
C-099,CITY,LAUREL ST,3RD ST,30.45036,-91.18832,"(30.45036, -91.18832)"
C-094,CITY,LAUREL ST,4TH ST,30.4504,-91.18711,"(30.4504, -91.18711)"
C-095,CITY,LAUREL ST,5TH ST,30.45044,-91.18591,"(30.45044, -91.18591)"
C-096,CITY,LAUREL ST,6TH ST,30.45047,-91.18473,"(30.45047, -91.18473)"
C-097,CITY,LAUREL ST,7TH ST,30.45051,-91.18347,"(30.45051, -91.18347)"
C-232,CITY,NORTH BLVD,RIVER RD,30.44708,-91.19017,"(30.44708, -91.19017)"
S-121B,STATE,NORTH BLVD,10TH ST,30.44734,-91.17963,"(30.44734, -91.17963)"
S-015,STATE,HOOPER RD,MICKENS RD,30.52634,-91.12724,"(30.52634, -91.12724)"
S-201,STATE,HOOPER RD,FOSTER RD,30.52919,-91.10812,"(30.52919, -91.10812)"
S-285,STATE,HOOPER RD,BLACKWATER RD,30.53316,-91.08689,"(30.53316, -91.08689)"
S-295,STATE,HOOPER RD,LOVETT RD,30.54051,-91.06958,"(30.54051, -91.06958)"
S-012,STATE,HOOPER RD,JOOR RD,30.54708,-91.05357,"(30.54708, -91.05357)"
S-013,STATE,HOOPER RD,SULLIVAN RD,30.55427,-91.03691,"(30.55427, -91.03691)"
S-221,STATE,JOOR RD,PRESCOTT RD,30.49116,-91.08842,"(30.49116, -91.08842)"
S-261,STATE,JOOR RD,GREENWELL ST,30.50253,-91.08709,"(30.50253, -91.08709)"
S-182,STATE,JOOR RD,MICKENS RD,30.50435,-91.08534,"(30.50435, -91.08534)"
