TRAFFIC SIGNAL INVENTORY NO,OWNER,PRIMARY STREET NAME,SECONDARY STREET NAME,LATITUDE,LONGITUDE,GeoLocation
C-193,CITY,CORPORATE BLVD,CITIPLACE CT,30.42509,-91.12998,"(30.42509, -91.12998)"
C-196,CITY,PICARDY AVE,DIJON DR,30.40105,-91.11296,"(30.40105, -91.11296)"
C-197,CITY,MAIN ST,SACRED HEART,30.45208,-91.16543,"(30.45208, -91.16543)"
C-198,CITY,HARRELL'S FERRY RD,MILLERVILLE RD,30.42992,-91.02448,"(30.42992, -91.02448)"
C-199,CITY,SOUTH BLVD,EAST BLVD,30.43973,-91.1802,"(30.43973, -91.1802)"
C-200,CITY,PICARDY AVE,SUMMA AVE,30.3924,-91.09304,"(30.3924, -91.09304)"
C-201,CITY,N MALL DR,COURTYARD MARRIOT,30.37929,-91.06552,"(30.37929, -91.06552)"
C-202,CITY,CHOCTAW DR,OAK VILLA BLVD,30.47158,-91.08908,"(30.47158, -91.08908)"
C-203,CITY,TOM  DR,AIRWAY DR,30.46813,-91.09872,"(30.46813, -91.09872)"
C-204,CITY,HARRELL'S FERRY RD,JONES CREEK RD,30.42678,-91.01433,"(30.42678, -91.01433)"
C-205,CITY,JOOR RD,DENHAM RD,30.58224,-91.04615,"(30.58224, -91.04615)"
C-207,CITY,JONES CREEK RD,FERRELL AVE,30.40267,-91.01673,"(30.40267, -91.01673)"
C-208,CITY,STANFORD AVE,W LAKESHORE DR / LSU AVE,30.40669,-91.16499,"(30.40669, -91.16499)"
C-209,CITY,LEE DR,BOONE DR,30.39832,-91.15565,"(30.39832, -91.15565)"
C-210,CITY,MILLERVILLE RD,AVALON AVE,30.44675,-91.02448,"(30.44675, -91.02448)"
C-211,CITY,FOSTER DR,GREENWELL SPRINGS RD / GUS YOUNG AVE,30.46229,-91.13953,"(30.46229, -91.13953)"
C-212,CITY,FOSTER DR,NORTH ST,30.45394,-91.13913,"(30.45394, -91.13913)"
C-213,CITY,FOSTER DR,NORTH BLVD,30.4487,-91.13888,"(30.4487, -91.13888)"
C-214,CITY,GREENWELL SPRINGS RD,ARDENWOOD AVE,30.46752,-91.13019,"(30.46752, -91.13019)"
C-215,CITY,GREENWELL SPRINGS RD,CHOCTAW DR,30.47105,-91.12393,"(30.47105, -91.12393)"
C-216,CITY,GREENWELL SPRINGS RD,LOBDELL BLVD,30.47159,-91.12303,"(30.47159, -91.12303)"
C-217,CITY,GREENWELL SPRINGS RD,VICTORIA DR,30.47468,-91.11736,"(30.47468, -91.11736)"
C-218,CITY,SULLIVAN RD,WALMART,30.54098,-91.02813,"(30.54098, -91.02813)"
C-219,CITY,BLUEBONNET BLVD,OLIPHANT RD,30.40478,-91.08144,"(30.40478, -91.08144)"
C-222,CITY,MILLERVILLE RD,WELDWOOD DR,30.43536,-91.02436,"(30.43536, -91.02436)"
C-224,CITY,GROOM RD,WALMART,30.58105,-91.12858,"(30.58105, -91.12858)"
C-225,CITY,OAK VILLA BLVD,CROSSWAY AVE,30.46026,-91.08866,"(30.46026, -91.08866)"
C-229,CITY,COURSEY BLVD,MARKET ST,30.40824,-91.01924,"(30.40824, -91.01924)"
C-230,CITY,RIVER RD,RIVER CENTER CRSWLK,30.44455,-91.19,"(30.44455, -91.19)"
C-231,CITY,CORPORATE BLVD,TOWNE CENTER BLVD,30.43063,-91.1135,"(30.43063, -91.1135)"
C-233,CITY,GREENWELL SPRINGS RD,PAULSON ST,30.46524,-91.13431,"(30.46524, -91.13431)"
C-234,CITY,COLLEGE DR,BANKERS AVE / BAWELL ST,30.42689,-91.13712,"(30.42689, -91.13712)"
C-236,CITY,GOVERNMENT ST,SAINT JAMES ST,30.44324,-91.18946,"(30.44324, -91.18946)"
C-237,CITY,COURSEY BLVD,ROYAL ASCOT AVE / SOUTHPARK DR,30.41482,-91.0579,"(30.41482, -91.0579)"
C-238,CITY,BLUEBONNET BLVD,CELTIC DR,30.41542,-91.07327,"(30.41542, -91.07327)"
C-239,CITY,GREENWELL SPRINGS RD,CAPITOL MIDDLE,30.46268,-91.13866,"(30.46268, -91.13866)"
C-240,CITY,BLOUNT RD,VETERANS MEMORIAL BLVD,30.54494,-91.16611,"(30.54494, -91.16611)"
C-241,CITY,MALL OF LOUISIANA BLVD,MALL DRIVE 1,30.38773,-91.08344,"(30.38773, -91.08344)"
C-242,CITY,MALL OF LOUISIANA BLVD,AMC THEATER,30.38619,-91.08696,"(30.38619, -91.08696)"
C-244,CITY,COURSEY BLVD,LAKE SHERWOOD AVE E,30.41092,-91.04145,"(30.41092, -91.04145)"
C-245,CITY,PICARDY AVE,MEDICAL CENTER DR,30.39204,-91.09583,"(30.39204, -91.09583)"
C-246,CITY,BRIGHTSIDE DR,ALVIN DARK AVE,30.38825,-91.18206,"(30.38825, -91.18206)"
C-248,CITY,CHOCTAW DR,CENTRAL THWY,30.47072,-91.01079,"(30.47072, -91.01079)"
C-253,CITY,CENTRAL THWY,FRENCHTOWN RD,30.50098,-91.02197,"(30.50098, -91.02197)"
C-254,CITY,MILLERVILLE RD,SPRING RIDGE AVE,30.44169,-91.02436,"(30.44169, -91.02436)"
C-256,CITY,PERKINS RD,ACADIAN VILLAGE,30.42175,-91.15413,"(30.42175, -91.15413)"
S-009,STATE,PLANK RD,GROOM RD,30.58015,-91.12662,"(30.58015, -91.12662)"
S-010,STATE,PLANK RD,LAVEY LN,30.57561,-91.1281,"(30.57561, -91.1281)"
S-022,STATE,GREENWELL SPRINGS RD,WOODDALE BLVD,30.47523,-91.11614,"(30.47523, -91.11614)"
S-023,STATE,GREENWELL SPRINGS RD,JOOR RD / OAK VILLA BLVD,30.48361,-91.08966,"(30.48361, -91.08966)"
S-024,STATE,GREENWELL SPRINGS RD,MONTERREY DR,30.4852,-91.08374,"(30.4852, -91.08374)"
S-025,STATE,OLD HAMMOND HWY,CEDARCREST AVE / SHARP RD,30.43455,-91.06611,"(30.43455, -91.06611)"
S-026,STATE,OLD HAMMOND HWY,SHERWOOD FOREST BLVD,30.43676,-91.05741,"(30.43676, -91.05741)"
S-027,STATE,ACADIAN THWY,I-10,30.42419,-91.15092,"(30.42419, -91.15092)"
S-028,STATE,HOLLYWOOD ST,I-110,30.4995,-91.15937,"(30.4995, -91.15937)"
S-029,STATE,SHERWOOD FOREST BLVD,I-12,30.42928,-91.05633,"(30.42928, -91.05633)"
S-030,STATE,EVANGELINE ST,I-110,30.4922,-91.1631,"(30.4922, -91.1631)"
S-031,STATE,MOHICAN ST,I-110,30.48456,-91.16586,"(30.48456, -91.16586)"
S-032,STATE,CHIPPEWA ST,I-110,30.47313,-91.1674,"(30.47313, -91.1674)"
S-034,STATE,GOVERNMENT ST,I-110,30.44354,-91.17869,"(30.44354, -91.17869)"
S-036,STATE,COLLEGE DR,I-10,30.42431,-91.13858,"(30.42431, -91.13858)"
S-037,STATE,NORTH ST,RIVER RD,30.45244,-91.19041,"(30.45244, -91.19041)"
S-038,STATE,CHOCTAW DR,CHIPPEWA ST / 3RD ST,30.46918,-91.18836,"(30.46918, -91.18836)"
S-039,STATE,CHIPPEWA ST,PHLOX AVE,30.47277,-91.17923,"(30.47277, -91.17923)"
S-041,STATE,SCENIC HWY,WINNEBAGO ST,30.48298,-91.16894,"(30.48298, -91.16894)"
S-042,STATE,SCENIC HWY,EVANGELINE ST,30.49256,-91.16955,"(30.49256, -91.16955)"
